host,ip,collector_hostname,timestamp,feature,value,anomaly_score,anomaly_flag,anomaly_type,anomaly_timestamp
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,icmpInMsgs,742.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,icmpInDestUnreachs,742.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,icmpOutMsgs,744.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,icmpOutDestUnreachs,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,icmpInEchos,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:26.804973,icmpOutEchoReps,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifInOctets11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifOutOctets11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifOutDiscards11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifInUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifInNUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifInDiscards11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifOutUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ifOutNUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpOutRsts,1010.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpInSegs,135235.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpOutSegs,149015.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpPassiveOpens,70.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpRetransSegs,4251.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpCurrEstab,28.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpEstabResets,511.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,tcpActiveOpens,4131.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,udpInDatagrams,151398.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,udpOutDatagrams,39943.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,udpInErrors,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,udpNoPorts,1247.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipInReceives,228432.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipInDelivers,230732.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipOutRequests,152415.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipOutDiscards,4420.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipInDiscards,1383.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipForwDatagrams,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipOutNoRoutes,19.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,ipInAddrErrors,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,icmpInMsgs,742.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,icmpInDestUnreachs,742.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,icmpOutMsgs,744.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,icmpOutDestUnreachs,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,icmpInEchos,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:37.156817,icmpOutEchoReps,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifInOctets11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifOutOctets11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifOutDiscards11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifInUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifInNUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifInDiscards11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifOutUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ifOutNUcastPkts11,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpOutRsts,1010.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpInSegs,135472.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpOutSegs,149217.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpPassiveOpens,70.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpRetransSegs,4251.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpCurrEstab,27.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpEstabResets,511.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,tcpActiveOpens,4134.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,udpInDatagrams,151415.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,udpOutDatagrams,39945.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,udpInErrors,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,udpNoPorts,1247.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipInReceives,228576.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipInDelivers,230874.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipOutRequests,152525.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipOutDiscards,4420.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipInDiscards,1383.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipForwDatagrams,0.0,-0.08139265295273568,Normal,,
localhost,127.0.0.1:161,local-producer,2025-11-06T17:52:47.582402,ipOutNoRoutes,19.0,-0.08139265295273568,Normal,,
